Name,Brand,Price,Old_price,Discount,Category,Model,Gender,Color,Material,Savings,Brand_Price_Diff,Price_bucket,Is_Premium_Brand
Proshot IntSintra4Pr,PROSHOT,9990.0,12990.0,23.0,PROSHOT обувь для бега,INT-SINTRA-4PR,Женщины,Черный,Текстиль,3000.0,-3000.0,Budget,0
Kinetix Int1124K013 4Pr,Kinetix,14990.0,18990.0,21.0,Kinetix кроссовки,INT1124K013 4PR,Мужчины,Черный,кожа,4000.0,2000.0,Budget,0
Kinetix Lenka Pu W 4Pr,Kinetix,13990.0,18990.0,26.0,Kinetix обувь для бега,LENKA PU W 4PR,Женщины,Черный,кожа,5000.0,1000.0,Budget,0
Lumberjack Cruz 4Pr  019,Lumberjack,14990.0,19990.0,25.0,Lumberjack обувь для бега,CRUZ 4PR,Девочка,Розовый,кожа,5000.0,1000.0,Budget,0
Kinetix SofiaInt 4Pr,Kinetix,5990.0,11990.0,50.0,Kinetix кроссовки,SOFIA-INT 4PR,Девочка,Розовый,кожа,6000.0,-7000.0,Budget,0
Lumberjack AngelinoInt 4Pr,Lumberjack,7990.0,16990.0,53.0,Lumberjack кроссовки,ANGELINO-INT 4PR,Мальчик,Коричневый,кожа,9000.0,-6000.0,Budget,0
Polaris FendyfInt 4Pr,Polaris,9990.0,16990.0,41.0,Polaris обувь,FENDY.F-INT 4PR,Мальчик,Черный,кожа,7000.0,2000.0,Budget,0
Kinetix JaneyInt 4Pr,Kinetix,9990.0,17990.0,44.0,Kinetix кроссовки,JANEY-INT 4PR,Мальчик,Синий,кожа/Кожа,8000.0,-3000.0,Budget,0
Kinetix Int1121K156 4Pr,Kinetix,11990.0,18990.0,37.0,Kinetix кроссовки,INT1121K156 4PR,Мужчины,Черный,кожа,7000.0,-1000.0,Budget,0
adidas Response,adidas,29990.0,44990.0,33.0,adidas обувь для бега,RESPONSE,Мужчины,Белый,Текстиль,15000.0,-2000.0,Mid-range,0
Lumberjack Mb Stradi 3Lu 32 3Fx,Lumberjack,1790.0,2290.0,22.0,Lumberjack носки,MB STRADI 3LU 32 3FX,Мужчины,Белый,Текстиль,500.0,-12200.0,Budget,0
Kinetix Credence 4Pr,Kinetix,19990.0,29990.0,33.0,Kinetix обувь,CREDENCE 4PR,Мужчины,Черный,кожа,10000.0,7000.0,Mid-range,0
Lumberjack Carson 4Pr,Lumberjack,22990.0,24990.0,0.0,Lumberjack повседневная обувь,CARSON 4PR,Мужчины,Черный,Текстиль,2000.0,9000.0,Mid-range,0
Lumberjack Duncan 4Pr,Lumberjack,19990.0,29990.0,33.0,Lumberjack обувь,DUNCAN 4PR,Мужчины,Черный,Текстиль,10000.0,6000.0,Mid-range,0
Torex Trx24K512 4Pr,Torex,14990.0,15990.0,0.0,Torex кроссовки,TRX24K-512 4PR,Женщины,Белый,кожа,1000.0,3000.0,Budget,0
Puma Puma Shuffle,Puma,29990.0,42990.0,30.0,Puma кроссовки,PUMA SHUFFLE,Мужчины,Черный,кожа,13000.0,0.0,Mid-range,1
Polaris 607017Z4Pr,Polaris,4990.0,6990.0,29.0,Polaris тапочки,607017.Z4PR,Женщины,Черный,кожа,2000.0,-3000.0,Budget,0
Lumberjack Wb Anna 16 4Pr,Lumberjack,8990.0,9990.0,10.0,Lumberjack свитшот,WB ANNA 16 4PR,Женщины,Черный,Полиамид,1000.0,-5000.0,Budget,0
Kinetix Lister Pu J B 4Pr  010,Kinetix,17090.0,19990.0,15.0,Kinetix обувь для бега,LISTER PU J B 4PR,Девочка,Розовый,кожа,2900.0,4100.0,Mid-range,0
Kinetix Marned J P 4Pr,Kinetix,17990.0,19990.0,10.0,Kinetix обувь для бега,MARNED J P 4PR,Девочка,Черный,кожа,2000.0,5000.0,Mid-range,0
Kinetix Luna B 4Pr  010,Kinetix,12990.0,14990.0,13.0,Kinetix кроссовки,LUNA B 4PR,Девочка,Розовый,кожа,2000.0,0.0,Budget,0
adidas Galaxy 7 M,adidas,24990.0,36990.0,32.0,adidas обувь для бега,GALAXY 7 M,Мужчины,Белый,Текстиль,12000.0,-7000.0,Mid-range,0
adidas Galaxy 7,adidas,28990.0,36990.0,22.0,adidas обувь для бега,GALAXY 7,Мужчины,Черный,Текстиль,8000.0,-3000.0,Mid-range,0
Spiderman Tarbinp4Pr,Spiderman,2990.0,7990.0,63.0,Spiderman тапочки,TARBIN.P4PR,Мальчик,Черный,Текстиль,5000.0,-6500.0,Budget,0
Polaris Gm Dr Shadow 4Pr,Polaris,2990.0,3290.0,0.0,Polaris ремень,GM DR SHADOW 4PR,Мужчины,Коричневый,кожа,300.0,-5000.0,Budget,0
Butigo Gm Ince Kopru 4Pr,Butigo,2990.0,3290.0,0.0,Butigo ремень,GM INCE KOPRU 4PR,Женщины,Черный,кожа,300.0,-11000.0,Budget,0
Kinetix Hyde Ag 4Pr,Kinetix,14990.0,17990.0,17.0,Kinetix обувь,HYDE AG 4PR,Мужчины,Белый,кожа,3000.0,2000.0,Budget,0
Reebok Club C Extra,Reebok,29990.0,44990.0,33.0,Reebok кроссовки,Club C Extra,Женщины,Белый,кожа/Текстиль,15000.0,4400.0,Mid-range,1
Kinetix Enner Pu Hi 4Pr,Kinetix,14990.0,19990.0,25.0,Kinetix кроссовки,ENNER PU HI 4PR,Мужчины,Белый,кожа,5000.0,2000.0,Budget,0
